metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N(visits),4670.0,4670.0,4670.0,4670.0,1573113.0
N(patients),4606.0,4178.0,4592.0,4137.0,434152.0
N_V02,< 10,< 10,< 10,< 10,< 10
%_V02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O30,< 10,< 10,< 10,< 10,2559.0
%_O30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.16%
N_E78,64.0,203.0,60.0,197.0,19707.0
%_E78,1.37%,4.35%,1.28%,4.22%,1.25%
N_X08,< 10,< 10,< 10,< 10,< 10
%_X08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S62,< 10,< 10,< 10,< 10,1583.0
%_S62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.1%
N_Z69,< 10,< 10,< 10,< 10,< 10
%_Z69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M95,< 10,< 10,< 10,< 10,195.0
%_M95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C4A,< 10,< 10,< 10,< 10,74.0
%_C4A,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E06,< 10,< 10,< 10,< 10,679.0
%_E06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_L13,< 10,< 10,< 10,< 10,< 10
%_L13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M16,< 10,< 10,< 10,< 10,2128.0
%_M16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_P07,< 10,< 10,< 10,< 10,638.0
%_P07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_S44,< 10,< 10,< 10,< 10,18.0
%_S44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q67,< 10,< 10,< 10,< 10,483.0
%_Q67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N34,< 10,< 10,< 10,< 10,80.0
%_N34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F32,10.0,40.0,13.0,34.0,2841.0
%_F32,< 0.21%,0.86%,0.28%,0.73%,0.18%
N_I10,97.0,413.0,79.0,433.0,32379.0
%_I10,2.08%,8.84%,1.69%,9.27%,2.06%
N_Q98,< 10,< 10,< 10,< 10,10.0
%_Q98,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z83,< 10,< 10,< 10,< 10,211.0
%_Z83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M11,< 10,< 10,< 10,< 10,66.0
%_M11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D83,< 10,< 10,< 10,< 10,96.0
%_D83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C03,< 10,< 10,< 10,< 10,24.0
%_C03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L95,< 10,< 10,< 10,< 10,< 10
%_L95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O99,< 10,21.0,14.0,21.0,4234.0
%_O99,< 0.21%,0.45%,0.3%,0.45%,0.27%
N_F29,< 10,< 10,< 10,< 10,514.0
%_F29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_K92,< 10,38.0,< 10,35.0,2105.0
%_K92,< 0.21%,0.81%,< 0.21%,0.75%,0.13%
N_H46,< 10,< 10,< 10,< 10,93.0
%_H46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M83,< 10,< 10,< 10,< 10,12.0
%_M83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O35,< 10,< 10,13.0,< 10,3893.0
%_O35,< 0.21%,< 0.21%,0.28%,< 0.21%,0.25%
N_T17,< 10,< 10,< 10,< 10,334.0
%_T17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I20,< 10,22.0,< 10,15.0,2184.0
%_I20,< 0.21%,0.47%,< 0.21%,0.32%,0.14%
N_E24,< 10,< 10,< 10,< 10,66.0
%_E24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T37,< 10,< 10,< 10,< 10,< 10
%_T37,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R36,< 10,< 10,< 10,< 10,62.0
%_R36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P24,< 10,< 10,< 10,< 10,27.0
%_P24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H10,< 10,< 10,< 10,< 10,423.0
%_H10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_H33,< 10,< 10,< 10,< 10,230.0
%_H33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q02,< 10,< 10,< 10,< 10,49.0
%_Q02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D75,< 10,< 10,< 10,< 10,858.0
%_D75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_L58,< 10,< 10,< 10,< 10,19.0
%_L58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B69,< 10,< 10,< 10,< 10,< 10
%_B69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_E77,< 10,< 10,< 10,< 10,< 10
%_E77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M27,< 10,< 10,< 10,< 10,144.0
%_M27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_V00,< 10,< 10,< 10,< 10,17.0
%_V00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N90,< 10,< 10,< 10,< 10,110.0
%_N90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H21,< 10,< 10,< 10,< 10,26.0
%_H21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L89,< 10,30.0,< 10,36.0,295.0
%_L89,< 0.21%,0.64%,< 0.21%,0.77%,0.02%
N_R48,< 10,< 10,< 10,< 10,38.0
%_R48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I83,< 10,< 10,10.0,11.0,1833.0
%_I83,< 0.21%,< 0.21%,< 0.21%,0.24%,0.12%
N_R68,< 10,28.0,< 10,28.0,1256.0
%_R68,< 0.21%,0.6%,< 0.21%,0.6%,0.08%
N_C09,< 10,< 10,< 10,< 10,120.0
%_C09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H11,< 10,< 10,< 10,< 10,151.0
%_H11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q72,< 10,< 10,< 10,< 10,83.0
%_Q72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H92,< 10,< 10,< 10,< 10,397.0
%_H92,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N20,23.0,23.0,20.0,11.0,6171.0
%_N20,0.49%,0.49%,0.43%,0.24%,0.39%
N_Q14,< 10,< 10,< 10,< 10,15.0
%_Q14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D10,< 10,< 10,< 10,< 10,17.0
%_D10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R54,< 10,< 10,< 10,< 10,98.0
%_R54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I07,< 10,< 10,< 10,< 10,1025.0
%_I07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_A69,< 10,< 10,< 10,< 10,83.0
%_A69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F12,< 10,< 10,< 10,< 10,357.0
%_F12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S69,< 10,< 10,< 10,< 10,594.0
%_S69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_K03,< 10,< 10,< 10,< 10,28.0
%_K03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q26,< 10,< 10,< 10,< 10,439.0
%_Q26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_C62,< 10,< 10,< 10,< 10,281.0
%_C62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_B10,< 10,< 10,< 10,< 10,< 10
%_B10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R52,< 10,20.0,12.0,32.0,2558.0
%_R52,< 0.21%,0.43%,0.26%,0.69%,0.16%
N_A06,< 10,< 10,< 10,< 10,< 10
%_A06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Y70,< 10,< 10,< 10,< 10,< 10
%_Y70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q00,< 10,< 10,< 10,< 10,< 10
%_Q00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S22,< 10,< 10,< 10,< 10,373.0
%_S22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_A40,< 10,< 10,< 10,< 10,22.0
%_A40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I60,< 10,< 10,< 10,< 10,280.0
%_I60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Q74,< 10,< 10,< 10,< 10,162.0
%_Q74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S55,< 10,< 10,< 10,< 10,< 10
%_S55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q68,< 10,< 10,< 10,< 10,129.0
%_Q68,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H05,< 10,< 10,< 10,< 10,143.0
%_H05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J81,< 10,< 10,< 10,< 10,281.0
%_J81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S09,< 10,11.0,10.0,13.0,2273.0
%_S09,< 0.21%,0.24%,< 0.21%,0.28%,0.14%
N_G73,< 10,< 10,< 10,< 10,< 10
%_G73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q30,< 10,< 10,< 10,< 10,15.0
%_Q30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J40,< 10,< 10,< 10,< 10,186.0
%_J40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G40,12.0,31.0,< 10,21.0,3325.0
%_G40,0.26%,0.66%,< 0.21%,0.45%,0.21%
N_J96,< 10,402.0,< 10,370.0,2689.0
%_J96,< 0.21%,8.61%,< 0.21%,7.92%,0.17%
N_R04,< 10,19.0,< 10,16.0,993.0
%_R04,< 0.21%,0.41%,< 0.21%,0.34%,0.06%
N_I08,< 10,< 10,< 10,< 10,175.0
%_I08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q22,< 10,< 10,< 10,< 10,944.0
%_Q22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_D01,< 10,< 10,< 10,< 10,24.0
%_D01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N35,< 10,< 10,< 10,< 10,95.0
%_N35,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E60,< 10,< 10,< 10,< 10,28.0
%_E60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C66,< 10,< 10,< 10,< 10,156.0
%_C66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O47,< 10,< 10,< 10,< 10,201.0
%_O47,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z17,40.0,25.0,43.0,23.0,13831.0
%_Z17,0.86%,0.54%,0.92%,0.49%,0.88%
N_Q75,< 10,< 10,< 10,< 10,177.0
%_Q75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K38,< 10,< 10,< 10,< 10,26.0
%_K38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N63,< 10,< 10,10.0,< 10,2469.0
%_N63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.16%
N_I78,< 10,< 10,< 10,< 10,138.0
%_I78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B44,< 10,< 10,< 10,< 10,193.0
%_B44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T51,< 10,< 10,< 10,< 10,< 10
%_T51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C47,< 10,< 10,< 10,< 10,146.0
%_C47,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K27,< 10,< 10,< 10,< 10,165.0
%_K27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E40,< 10,< 10,< 10,< 10,< 10
%_E40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R51,14.0,19.0,11.0,27.0,3830.0
%_R51,0.3%,0.41%,0.24%,0.58%,0.24%
N_E71,< 10,< 10,< 10,< 10,35.0
%_E71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O33,< 10,< 10,< 10,< 10,52.0
%_O33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O22,< 10,< 10,< 10,< 10,97.0
%_O22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C41,< 10,< 10,< 10,< 10,803.0
%_C41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_N30,< 10,22.0,12.0,16.0,2306.0
%_N30,< 0.21%,0.47%,0.26%,0.34%,0.15%
N_T42,< 10,< 10,< 10,< 10,13.0
%_T42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R82,< 10,15.0,< 10,16.0,1431.0
%_R82,< 0.21%,0.32%,< 0.21%,0.34%,0.09%
N_C86,< 10,< 10,< 10,< 10,142.0
%_C86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E64,< 10,< 10,< 10,< 10,< 10
%_E64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L63,< 10,< 10,< 10,< 10,15.0
%_L63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N93,< 10,11.0,< 10,< 10,2917.0
%_N93,< 0.21%,0.24%,< 0.21%,< 0.21%,0.19%
N_O40,< 10,< 10,< 10,< 10,403.0
%_O40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Z00,39.0,87.0,43.0,107.0,15570.0
%_Z00,0.84%,1.86%,0.92%,2.29%,0.99%
N_M25,99.0,87.0,86.0,96.0,29838.0
%_M25,2.12%,1.86%,1.84%,2.06%,1.9%
N_Z46,< 10,< 10,< 10,< 10,247.0
%_Z46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_X11,< 10,< 10,< 10,< 10,< 10
%_X11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q84,< 10,< 10,< 10,< 10,< 10
%_Q84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S66,< 10,< 10,< 10,< 10,50.0
%_S66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I63,13.0,84.0,18.0,87.0,5854.0
%_I63,0.28%,1.8%,0.39%,1.86%,0.37%
N_Z21,< 10,< 10,< 10,< 10,396.0
%_Z21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_D02,< 10,< 10,< 10,< 10,< 10
%_D02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L56,< 10,< 10,< 10,< 10,< 10
%_L56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A50,< 10,< 10,< 10,< 10,< 10
%_A50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_T48,< 10,< 10,< 10,< 10,< 10
%_T48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K75,< 10,< 10,< 10,11.0,1075.0
%_K75,< 0.21%,< 0.21%,< 0.21%,0.24%,0.07%
N_J41,< 10,< 10,< 10,< 10,115.0
%_J41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C64,< 10,11.0,< 10,< 10,2356.0
%_C64,< 0.21%,0.24%,< 0.21%,< 0.21%,0.15%
N_T81,< 10,< 10,< 10,10.0,1377.0
%_T81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.09%
N_B87,< 10,< 10,< 10,< 10,< 10
%_B87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q17,< 10,< 10,< 10,< 10,30.0
%_Q17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R46,< 10,< 10,< 10,< 10,448.0
%_R46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N52,< 10,< 10,< 10,< 10,405.0
%_N52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B00,< 10,< 10,< 10,< 10,466.0
%_B00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B95,< 10,23.0,< 10,28.0,887.0
%_B95,< 0.21%,0.49%,< 0.21%,0.6%,0.06%
N_Q42,< 10,< 10,< 10,< 10,39.0
%_Q42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D35,< 10,< 10,< 10,< 10,669.0
%_D35,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_G30,< 10,< 10,< 10,< 10,223.0
%_G30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M23,< 10,< 10,< 10,< 10,421.0
%_M23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_I74,< 10,< 10,< 10,< 10,275.0
%_I74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_O69,< 10,< 10,< 10,< 10,35.0
%_O69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S70,< 10,< 10,< 10,< 10,64.0
%_S70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A87,< 10,< 10,< 10,< 10,10.0
%_A87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C58,< 10,< 10,< 10,< 10,< 10
%_C58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_H62,< 10,< 10,< 10,< 10,< 10
%_H62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G44,< 10,19.0,< 10,10.0,1965.0
%_G44,< 0.21%,0.41%,< 0.21%,< 0.21%,0.12%
N_Z79,59.0,242.0,52.0,223.0,18592.0
%_Z79,1.26%,5.18%,1.11%,4.78%,1.18%
N_M47,11.0,17.0,< 10,11.0,2540.0
%_M47,0.24%,0.36%,< 0.21%,0.24%,0.16%
N_I62,< 10,< 10,< 10,< 10,224.0
%_I62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_W25,< 10,< 10,< 10,< 10,< 10
%_W25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_P55,< 10,< 10,< 10,< 10,121.0
%_P55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D51,< 10,< 10,< 10,< 10,201.0
%_D51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N99,< 10,< 10,< 10,< 10,117.0
%_N99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K56,< 10,24.0,< 10,28.0,1143.0
%_K56,< 0.21%,0.51%,< 0.21%,0.6%,0.07%
N_U09,< 10,< 10,< 10,< 10,31.0
%_U09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J21,< 10,< 10,< 10,< 10,347.0
%_J21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R45,< 10,21.0,< 10,20.0,1552.0
%_R45,< 0.21%,0.45%,< 0.21%,0.43%,0.1%
N_Z22,< 10,10.0,< 10,< 10,369.0
%_Z22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_M88,< 10,< 10,< 10,< 10,17.0
%_M88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J04,< 10,< 10,< 10,< 10,57.0
%_J04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N16,< 10,< 10,< 10,< 10,< 10
%_N16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M22,< 10,< 10,< 10,< 10,572.0
%_M22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_A49,< 10,19.0,< 10,23.0,557.0
%_A49,< 0.21%,0.41%,< 0.21%,0.49%,0.04%
N_J10,< 10,< 10,< 10,< 10,304.0
%_J10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_U07,< 10,< 10,< 10,< 10,9342.0
%_U07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.59%
N_R13,< 10,69.0,< 10,80.0,3462.0
%_R13,< 0.21%,1.48%,< 0.21%,1.71%,0.22%
N_J38,< 10,< 10,< 10,< 10,441.0
%_J38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_N29,< 10,< 10,< 10,< 10,53.0
%_N29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_X78,< 10,< 10,< 10,< 10,< 10
%_X78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_I42,17.0,65.0,22.0,55.0,6936.0
%_I42,0.36%,1.39%,0.47%,1.18%,0.44%
N_I65,17.0,29.0,15.0,29.0,4802.0
%_I65,0.36%,0.62%,0.32%,0.62%,0.31%
N_Z15,< 10,< 10,< 10,< 10,1234.0
%_Z15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_E56,< 10,< 10,< 10,< 10,54.0
%_E56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S60,< 10,< 10,< 10,< 10,167.0
%_S60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L81,< 10,< 10,< 10,< 10,231.0
%_L81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R84,< 10,< 10,< 10,< 10,18.0
%_R84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N21,< 10,< 10,< 10,< 10,222.0
%_N21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N00,< 10,< 10,< 10,< 10,< 10
%_N00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L12,< 10,< 10,< 10,< 10,58.0
%_L12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q07,< 10,< 10,< 10,< 10,32.0
%_Q07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I22,< 10,< 10,< 10,< 10,< 10
%_I22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_V21,< 10,< 10,< 10,< 10,< 10
%_V21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q96,< 10,< 10,< 10,< 10,63.0
%_Q96,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P78,< 10,< 10,< 10,< 10,93.0
%_P78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F91,< 10,< 10,< 10,< 10,37.0
%_F91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z99,< 10,92.0,< 10,84.0,3285.0
%_Z99,< 0.21%,1.97%,< 0.21%,1.8%,0.21%
N_Z32,< 10,< 10,< 10,< 10,2278.0
%_Z32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_Z89,< 10,< 10,< 10,< 10,184.0
%_Z89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T46,< 10,< 10,< 10,< 10,81.0
%_T46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H54,< 10,< 10,< 10,< 10,324.0
%_H54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Z76,< 10,22.0,< 10,27.0,3640.0
%_Z76,< 0.21%,0.47%,< 0.21%,0.58%,0.23%
N_K72,< 10,20.0,< 10,17.0,492.0
%_K72,< 0.21%,0.43%,< 0.21%,0.36%,0.03%
N_A21,< 10,< 10,< 10,< 10,< 10
%_A21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_V99,< 10,< 10,< 10,< 10,< 10
%_V99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N62,< 10,< 10,< 10,< 10,146.0
%_N62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N88,< 10,< 10,< 10,< 10,267.0
%_N88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_E09,< 10,< 10,< 10,< 10,172.0
%_E09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K41,< 10,< 10,< 10,< 10,15.0
%_K41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_V09,< 10,< 10,< 10,< 10,25.0
%_V09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T50,< 10,< 10,< 10,14.0,632.0
%_T50,< 0.21%,< 0.21%,< 0.21%,0.3%,0.04%
N_O13,< 10,< 10,< 10,< 10,912.0
%_O13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_D26,< 10,< 10,< 10,< 10,< 10
%_D26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O43,< 10,< 10,< 10,< 10,806.0
%_O43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_F06,< 10,< 10,< 10,< 10,142.0
%_F06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_XXXX,< 10,< 10,< 10,< 10,185.0
%_XXXX,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T55,< 10,< 10,< 10,< 10,< 10
%_T55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_I27,< 10,41.0,< 10,47.0,4033.0
%_I27,< 0.21%,0.88%,< 0.21%,1.01%,0.26%
N_I33,< 10,< 10,< 10,< 10,175.0
%_I33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B08,< 10,< 10,< 10,< 10,88.0
%_B08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R69,10.0,< 10,13.0,< 10,2755.0
%_R69,< 0.21%,< 0.21%,0.28%,< 0.21%,0.18%
N_C48,< 10,< 10,< 10,< 10,288.0
%_C48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_B34,14.0,48.0,< 10,60.0,4666.0
%_B34,0.3%,1.03%,< 0.21%,1.28%,0.3%
N_F95,< 10,< 10,< 10,< 10,21.0
%_F95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E51,< 10,< 10,< 10,< 10,33.0
%_E51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T07,< 10,< 10,< 10,< 10,90.0
%_T07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z51,25.0,64.0,20.0,58.0,7170.0
%_Z51,0.54%,1.37%,0.43%,1.24%,0.46%
N_D80,< 10,< 10,< 10,< 10,893.0
%_D80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_S15,< 10,< 10,< 10,< 10,< 10
