metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N_V01,< 10,< 10,< 10,< 10,< 10
%_V01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_I44,10.0,20.0,15.0,22.0,4080.0
%_I44,< 0.21%,0.43%,0.32%,0.47%,0.26%
N_L90,< 10,< 10,< 10,< 10,150.0
%_L90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R23,< 10,19.0,< 10,25.0,527.0
%_R23,< 0.21%,0.41%,< 0.21%,0.54%,0.03%
N_M60,< 10,< 10,< 10,< 10,153.0
%_M60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C44,< 10,< 10,< 10,< 10,1003.0
%_C44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_B48,< 10,< 10,< 10,< 10,19.0
%_B48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N42,< 10,< 10,< 10,< 10,45.0
%_N42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M35,< 10,28.0,< 10,29.0,985.0
%_M35,< 0.21%,0.6%,< 0.21%,0.62%,0.06%
N_F69,< 10,< 10,< 10,< 10,116.0
%_F69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F01,< 10,< 10,< 10,< 10,141.0
%_F01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N44,< 10,< 10,< 10,< 10,45.0
%_N44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z91,< 10,39.0,< 10,45.0,2551.0
%_Z91,< 0.21%,0.84%,< 0.21%,0.96%,0.16%
N_J33,< 10,< 10,< 10,< 10,158.0
%_J33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A41,< 10,127.0,< 10,125.0,1982.0
%_A41,< 0.21%,2.72%,< 0.21%,2.68%,0.13%
N_R91,18.0,60.0,19.0,61.0,5918.0
%_R91,0.39%,1.28%,0.41%,1.31%,0.38%
N_O73,< 10,< 10,< 10,< 10,35.0
%_O73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L97,< 10,10.0,< 10,12.0,1320.0
%_L97,< 0.21%,< 0.21%,< 0.21%,0.26%,0.08%
N_L75,< 10,< 10,< 10,< 10,< 10
%_L75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z72,< 10,< 10,< 10,< 10,381.0
%_Z72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R12,< 10,< 10,< 10,< 10,274.0
%_R12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_J22,< 10,< 10,< 10,< 10,29.0
%_J22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q25,< 10,< 10,< 10,13.0,1881.0
%_Q25,< 0.21%,< 0.21%,< 0.21%,0.28%,0.12%
N_A48,< 10,< 10,< 10,< 10,10.0
%_A48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B49,< 10,< 10,< 10,13.0,354.0
%_B49,< 0.21%,< 0.21%,< 0.21%,0.28%,0.02%
N_F42,< 10,< 10,< 10,< 10,80.0
%_F42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M40,< 10,< 10,< 10,< 10,700.0
%_M40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_H72,< 10,< 10,< 10,< 10,170.0
%_H72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C50,54.0,32.0,55.0,38.0,19401.0
%_C50,1.16%,0.69%,1.18%,0.81%,1.23%
N_N28,13.0,22.0,< 10,22.0,3181.0
%_N28,0.28%,0.47%,< 0.21%,0.47%,0.2%
N_F73,< 10,< 10,< 10,< 10,< 10
%_F73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q86,< 10,< 10,< 10,< 10,< 10
%_Q86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_F90,< 10,< 10,< 10,< 10,323.0
%_F90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I79,< 10,< 10,< 10,< 10,10.0
%_I79,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I82,< 10,75.0,11.0,94.0,3765.0
%_I82,< 0.21%,1.61%,0.24%,2.01%,0.24%
N_S56,< 10,< 10,< 10,< 10,30.0
%_S56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T70,< 10,< 10,< 10,< 10,< 10
%_T70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S32,< 10,< 10,< 10,< 10,489.0
%_S32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_O25,< 10,< 10,< 10,< 10,< 10
%_O25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C25,19.0,22.0,23.0,15.0,7217.0
%_C25,0.41%,0.47%,0.49%,0.32%,0.46%
N_Z87,< 10,34.0,11.0,37.0,5567.0
%_Z87,< 0.21%,0.73%,0.24%,0.79%,0.35%
N_J15,< 10,68.0,< 10,63.0,399.0
%_J15,< 0.21%,1.46%,< 0.21%,1.35%,0.03%
